filename,signal,signal_labels,bbox,width,height
20250905_151143.jpg,0,,,800,600
20250905_151146.jpg,2,,,800,600
20250905_151148.jpg,0,,,800,600
20250905_151204.jpg,0,,,800,600
20250905_151205.jpg,0,,,800,600
20250905_151207.jpg,0,,,800,600
20250905_151231.jpg,2,,,800,600
20250905_151233.jpg,2,,,800,600
20250905_151349.jpg,2,,,800,600
20250905_151350.jpg,2,,,800,600
20250905_151352.jpg,2,,,800,600
20250905_151425.jpg,2,,,800,600
20250905_151427.jpg,0,,,800,600
20250905_151429.jpg,0,,,800,600
20250905_151431.jpg,0,,,800,600
20250905_151442.jpg,2,,,800,600
20250905_151444.jpg,1,,,800,600
20250905_151446.jpg,2,,,800,600
20250905_151536.jpg,1,,,800,600
20250905_151538.jpg,2,,,800,600
20250905_151540.jpg,0,,,800,600
20250905_151552.jpg,2,,,800,600
20250905_151554.jpg,2,,,800,600
20250905_151558.jpg,0,,,800,600
20250905_151625.jpg,0,,,800,600
20250905_151627.jpg,0,,,800,600
20250905_151629.jpg,0,,,800,600
20250905_151630.jpg,0,,,800,600
20250905_151632.jpg,2,,,800,600
20250905_151634.jpg,0,,,800,600
20250905_151712.jpg,0,,,800,600
20250905_151723.jpg,2,,,800,600
20250905_151725.jpg,1,,,800,600
20250905_151726.jpg,1,,,800,600
20250905_151728.jpg,2,,,800,600
20250905_151746.jpg,1,,,800,600
20250905_151748.jpg,0,,,800,600
20250905_151750.jpg,0,,,800,600
20250905_151751.jpg,0,,,800,600
20250905_151753.jpg,2,,,800,600
20250905_151754.jpg,0,,,800,600
20250905_151756.jpg,0,,,800,600
20250905_151758.jpg,0,,,800,600
20250905_151804.jpg,0,,,800,600
20250905_151806.jpg,2,,,800,600
20250905_151826.jpg,0,,,800,600
20250905_151828.jpg,1,,,800,600
20250905_151829.jpg,1,,,800,600
20250905_151831.jpg,2,,,800,600
20250905_151911.jpg,1,,,800,600
20250905_151914.jpg,0,,,800,600
20250905_151915.jpg,2,,,800,600
20250905_151917.jpg,2,,,800,600
20250905_151919.jpg,0,,,800,600
20250905_151946.jpg,0,,,800,600
20250905_151947.jpg,1,,,800,600
20250905_151948.jpg,1,,,800,600
20250905_151949.jpg,1,,,800,600
20250905_151951.jpg,1,,,800,600
20250905_152029.jpg,2,,,800,600
20250905_152031.jpg,2,,,800,600
20250905_152032.jpg,0,,,800,600
20250905_152034.jpg,2,,,800,600
20250905_152036.jpg,2,,,800,600
20250905_152039.jpg,0,,,800,600
20250905_152058.jpg,0,,,800,600
20250905_152100.jpg,0,,,800,600
20250905_152101.jpg,2,,,800,600
20250905_152103.jpg,0,,,800,600
20250905_152105.jpg,2,,,800,600
20250905_152108.jpg,0,,,800,600
20250905_152112.jpg,0,,,800,600
20250905_152113.jpg,2,,,800,600
20250905_152115.jpg,1,,,800,600
20250905_152116.jpg,1,,,800,600
20250905_152136.jpg,2,,,800,600
20250905_152138.jpg,1,,,800,600
20250905_152139.jpg,2,,,800,600
20250905_152142.jpg,1,,,800,600
20250905_152145.jpg,2,,,800,600
20250905_152146.jpg,0,,,800,600
20250905_152148.jpg,0,,,800,600
20250905_152150.jpg,0,,,800,600
20250905_152249.jpg,2,,,800,600
20250905_152250.jpg,2,,,800,600
20250905_152252.jpg,2,,,800,600
20250905_152253.jpg,1,,,800,600
20250905_152255.jpg,1,,,800,600
20250905_152256.jpg,1,,,800,600
20250905_152312.jpg,1,,,800,600
20250905_152313.jpg,0,,,800,600
20250905_152315.jpg,2,,,800,600
20250905_152316.jpg,2,,,800,600
20250905_152318.jpg,0,,,800,600
20250905_152327.jpg,0,,,800,600
20250905_152329.jpg,1,,,800,600
20250905_152330.jpg,1,,,800,600
20250905_152457.jpg,1,,,800,600
20250905_152459.jpg,2,,,800,600
20250905_152500.jpg,2,,,800,600
20250905_152501.jpg,2,,,800,600
20250905_152503.jpg,2,,,800,600
20250905_152504.jpg,2,,,800,600
20250905_152506.jpg,2,,,800,600
20250905_152557.jpg,2,,,800,600
20250905_152559.jpg,2,,,800,600
20250905_152601.jpg,1,,,800,600
20250905_152603.jpg,2,,,800,600
20250905_152604.jpg,1,,,800,600
20250905_152606.jpg,2,,,800,600
20250905_152607.jpg,2,,,800,600
20250905_152608.jpg,0,,,800,600
20250905_152610.jpg,0,,,800,600
20250905_152624.jpg,2,,,800,600
20250905_152626.jpg,2,,,800,600
20250905_152628.jpg,2,,,800,600
20250905_152630.jpg,1,,,800,600
20250905_152632.jpg,2,,,800,600
20250905_152634.jpg,1,,,800,600
20250905_152701.jpg,1,,,800,600
20250905_152703.jpg,0,,,800,600
20250905_152705.jpg,0,,,800,600
20250905_152735.jpg,2,,,800,600
20250905_152737.jpg,2,,,800,600
20250905_152739.jpg,1,,,800,600
20250905_152740.jpg,1,,,800,600
20250905_152742.jpg,1,,,800,600
20250905_152825.jpg,1,,,800,600
20250905_152827.jpg,0,,,800,600
20250905_152828.jpg,0,,,800,600
20250905_152830.jpg,0,,,800,600
20250905_152832.jpg,0,,,800,600
20250905_152834.jpg,2,,,800,600
20250905_152836.jpg,0,,,800,600
20250905_152837.jpg,2,,,800,600
20250905_152838.jpg,2,,,800,600
20250905_152841.jpg,0,,,800,600
20250905_152854.jpg,0,,,800,600
20250905_152855.jpg,0,,,800,600
20250905_152919.jpg,0,,,800,600
20250905_152921.jpg,0,,,800,600
20250905_152923.jpg,0,,,800,600
20250905_152924.jpg,2,,,800,600
20250905_152926.jpg,2,,,800,600
20250905_152930.jpg,0,,,800,600
20250905_152931.jpg,1,,,800,600
20250905_153025.jpg,2,,,800,600
20250905_153027.jpg,0,,,800,600
20250905_153029.jpg,0,,,800,600
20250905_153030.jpg,0,,,800,600
20250905_153032.jpg,2,,,800,600
20250905_153034.jpg,0,,,800,600
20250905_153036.jpg,2,,,800,600
20250905_153037.jpg,2,,,800,600
20250905_153039.jpg,0,,,800,600
20250905_153042.jpg,2,,,800,600
20250905_153043.jpg,0,,,800,600
20250905_153056.jpg,0,,,800,600
20250905_153058.jpg,1,,,800,600
20250905_153100.jpg,1,,,800,600
20250905_153102.jpg,2,,,800,600
20250905_153104.jpg,2,,,800,600
20250905_153110.jpg,2,,,800,600
20250905_153112.jpg,0,,,800,600
20250905_153114.jpg,2,,,800,600
20250905_153116.jpg,2,,,800,600
20250905_153117.jpg,2,,,800,600
20250905_153119.jpg,2,,,800,600
20250905_153143.jpg,2,,,800,600
20250905_153144.jpg,1,,,800,600
20250905_153225.jpg,1,,,800,600
20250905_153227.jpg,2,,,800,600
20250905_153229.jpg,0,,,800,600
20250905_153230.jpg,2,,,800,600
20250905_153232.jpg,2,,,800,600
20250905_153233.jpg,2,,,800,600
20250905_153247.jpg,2,,,800,600
20250905_153249.jpg,2,,,800,600
20250905_153251.jpg,1,,,800,600
20250905_153253.jpg,2,,,800,600
20250905_153255.jpg,2,,,800,600
20250905_153316.jpg,2,,,800,600
20250905_153318.jpg,2,,,800,600
20250905_153320.jpg,2,,,800,600
20250905_153322.jpg,2,,,800,600
20250905_153324.jpg,1,,,800,600
20250905_153341.jpg,2,,,800,600
20250905_153343.jpg,0,,,800,600
20250905_153346.jpg,0,,,800,600
20250905_153348.jpg,0,,,800,600
